|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|01 Jul 2014|30 Jun 2015
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
Havells India Ltd.|47469.40|44434.30|0.00|37.40|44148.70|31281.77|29.00|6589.80|1087.80|28754.60|10536.30|3649.90|4.30|53330.70|49667.80||60.30|48585.70|34030.34|360.80|7869.40|1955.20|34329.20|14680.50|6260.10|5.47|234.31|282.65
Hero Motocorp Ltd.|263372.20|238245.00|11.30|70.70|241816.10|196654.74|3976.00|21403.80|9227.60|107308.30|15606.80|17446.60|6.15|277106.00|251425.20|6.80|139.80|255928.90|204820.01|4469.60|26188.60|2842.60|101125.00|17878.90|27595.90|8.11|2643.40|2523.50
Hexaware Technologies Ltd.|10544.20|10180.90|2.10|0.10|7204.50|3678.41|324.70|2167.70||14749.80|4374.50|2684.90|4.45|12142.70|11519.10|0.00|0.50|8958.70|4726.17|553.50|2607.20||14546.20|4993.10|3231.90|5.79|154.95|255.45
Hindalco Industries Ltd.|291389.40|260662.60||215.70|272909.00|218322.21|8958.30|55796.00|208058.70|668004.40|115336.10|-3523.40|0.52|316316.30|281466.90|0.00|4097.70|308990.10|237454.59|12568.80|74638.80|227612.20|741387.40|121877.50|20313.70|0.80|175.25|111.90
Hindustan Petroleum Corpn. Ltd.|2186954.70|2081735.00||123.90|2169813.10|1976211.71|10434.80|228320.00|289852.00|769811.40|356062.10|8950.00|0.70|2349523.90|2245681.40|0.00|175.40|2337930.50|2117956.77|7647.10|243917.40|288219.80|788564.30|346294.40|88075.60|0.70|413.15|729.15
Hindustan Unilever Ltd.|285700.10|256587.80|6377.00|371.90|248096.40|159089.83|6160.50|62600.90||117762.00|55992.60|29540.70|37.77|306484.70|278695.50|1883.10|226.30|269365.30|170844.93|6519.30|68139.90||132689.40|60571.30|33177.60|39.97|628.85|916.70
Hindustan Zinc Ltd.|156613.30|126290.80|0.00|192.60|88743.90|57929.41|20031.90|10849.40||354873.90|91114.00|47850.10|1.59|170034.70|135959.90||188.80|102540.10|63637.77|20704.20|15851.70||417134.30|52859.30|54711.60|1.46|168.25|167.10
Housing Development & Infrastructure Ltd.|11536.50|9538.90||1.10|14692.60|3458.33|1845.40|27411.70|7502.70|166862.90|112046.70|5189.60|0.19|9404.50|7518.60||0.50|10334.80|4565.22|1796.10|26394.80|3212.40|160806.30|110669.40|10421.50|0.23|102.55|92.05
Housing Development Finance Corpn. Ltd.|214393.40|64.00|||165684.60|2339.43|213711.80|79703.50|1256786.90|1954624.90|67141.10|-283587.60|5.15|245428.10|56.50|||190890.50|2793.70|244365.10|93949.40|1374167.20|2255106.10|91082.80|-298768.90|4.93|984.10|1296.45
I C I C I Bank Ltd.|485499.60||352.50||402244.90|35348.47|480896.30|279107.00|1434700.80|5372629.40|632132.30|133737.30|1.81|546060.40||1363.80||447955.60|38894.30|541906.00|299362.50|1544594.90|5968823.10|683597.90|-31628.20|1.96|287.61|308.00
